wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.888958 
wtf? newest:  220339752, out: 2, eta: 1.000000,  updateval: 0.888958 
wtf? newest:  219611688, out: 2, eta: 1.000000,  updateval: 0.888958 
wtf? newest:  104, out: 8, eta: 1.700000,  updateval: -0.622270 
wtf? newest:  8, out: 220382688, eta: -0.300000,  updateval: 1.003319 
wtf? newest:  219575008, out: 2, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219571680, eta: 0.000000,  updateval: 0.000000 
wtf? newest:  113, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220440264, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  113, out: 12, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220201672, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  220422856, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 220419552, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  220212576, out: 3, eta: 1.973000,  updateval: 0.351330 
wtf? newest:  219557216, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  219612512, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  220228960, out: 1, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  87, out: 8, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  3, out: 220207584, eta: -0.027000,  updateval: 1.486499 
wtf? newest:  104, out: 8, eta: 1.973000,  updateval: 0.351330 
wtf? newest:  220339760, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  219611696, out: 2, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  104, out: 8, eta: 1.000000,  updateval: 0.910000 
wtf? newest:  8, out: 220235232, eta: -0.027000,  updateval: 1.486499 
wtf? newest:  220377640, out: 3, eta: 1.966687,  updateval: 0.318951 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220248616, out: 3, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  105, out: 8, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  220412456, out: 1, eta: 1.000000,  updateval: 0.700000 
wtf? newest:  3, out: 220373472, eta: -0.033313,  updateval: 1.472366 
wtf? newest:  17, out: 226406656, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219583200, out: 1, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  219593440, out: 2, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  2, out: 219590112, eta: -1.000000,  updateval: 0.700000 
wtf? newest:  109, out: 12, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  109, out: 8, eta: 1.000000,  updateval: 0.000000 
wtf? newest:  109, out: 8, eta: 1.700000,  updateval: 0.000000 
wtf? newest:  8, out: 220456416, eta: -0.300000,  updateval: 1.190000 
wtf? newest:  220183904, out: 2, eta: 1.000000,  updateval: 0.973000 
